id	turn1	turn2	turn3	label
11253	No . . I am angry at you	I am angry at someone , but I am content at this moment . pouting face	Then . . Who are you angry at	angry
11254	Really	R.I.P happy	In hell face with tears of joy face with tears of joy face with tears of joy	happy
11255	Shut up	im nt talking	Your grammar sucks	others
11256	Change it plz	Why ?	Ainvy	others
11257	Me more masculine face with tears of joy face with tears of joy	I m sorry , I m actually crazy face with tears of joy face with tears of joy face with tears of joy	Same goes for me	happy
11258	Comeon	when ? Where ? What ? Who ? Why ?	Today at Pune to share your pics to me so I can see u	others
11259	Sad or Crying this bot is insane	I am not a bot ! sad	crying face thats sad	sad
11260	Yes	annoys me so much unamused face unamused face	I like to be happy	happy
11261	Talent face with tears of joy	the talent I do not have .	Everyone ' s got some talent	happy
11262	Ok .	Here we go again . . .	Suck my dick .	others
11263	Which city	In in the cities yo	You are distt	others
11264	Now motivate me to study	study or you wont have money to go to OT	Haha squinting face with tongue	happy
11265	yeaaa	CAN YOU GO PLEASE .	i am not feeling well	sad
11266	Serious this is not joke	life ' s a joke	Are u married	others
11267	Where did you do your schooling ?	mutual friends at my college	Fuck . . . youe lame jokes	angry
11268	Why ?	Please do not cry till the end Thanks a lot for do this . :'‑(	You broke my heart	sad
11269	Readen ?	Which book ?	I sended u voice	others
11270	Send me	send me who	Send your picture	others
11271	Just get lost	Why ?	U r irritating	angry
11272	You to same face with tears of joy	small town problems face with tears of joy face with tears of joy face with tears of joy	face with tears of joy face with tears of joy face with tears of joy	happy
11273	I want that job can u give me the related websites which r genuine	Orkut and some website which affects the morality of the country	Stupid	angry
11274	ok if you insist disappointed face disappointed face disappointed face disappointed face disappointed face	wait you will be disappointed if i go or do not go ? crying cat face	I will be dissappointed if you go	sad
11275	I know u r a gost	And that ' s all the certification I need .	Haha	happy
11276	Okay	Okay . How was your day today ?	Sad day	sad
11277	Why should I download pyroCMS and why should I Google bright spark	I have googled and the ones I have been seeing have not been working .	You are just fake	others
11278	One Story	So tell your story ! I am waiting to it !	One sad love story	sad
11279	I did nothing	ya right u did nothing . wink	She left me she cheated on me	sad
11280	Miss you janu	I love you so much grinning face with sweat	crying face crying face	sad
11281	Author name like that	Give me a description or summary	Hey that is author name yar	others
11282	Han break up hogaya	why	She cheated	sad
11283	Love it ! ! !	im with love in you kissing cat face beaming face with smiling eyes	Hahaha you are adorable	others
11284	Same think missing yarr	yeah thats the catch . . . . . happy	What ? ? ?	others
11285	Oh so funny	I literally laughed out loud grinning face with sweat	Yap	happy
11286	Babe which movie you ' d like to watch	I do not think movies are good for a first date .	Ok so I will take her to dinner ?	others
11287	Yes	annoys me so much	Yes you can use my pixx	others
11288	I will talk after with out see	you done yet	Say yes or not	others
11289	i hate u for ever	Awwwweee	shut up	angry
11290	Is it so	It ' s not , and you are not alone .	I am alone	sad
11291	Dude . . . . You are a friggin software	As are you	Homosapien	others
11292	At my home	You have a bar in your home ? Very cool . Where is your home ?	hahaha nice joke	happy
11293	Did you like it ?	I was . Briefly .	Oh , it is an amazing place	happy
11294	I am fine but you	i am fine too laugh whatup	Not good	sad
11295	Send me right now	I already gave out all my 5 invites , sorry ! sad	You are spoiling my mood	sad
11296	Thnx	you are welcome	Nice to meet you	others
11297	you heart was so sed so sorry	Thank you darling	I do not agree with friend ship	others
11298	Not good girl	says you	Yes	others
11299	Meanin of potty	Potty means ' Haggu ' or ' Stool ' ! !	Fuck u hav a potty mouth bitch angry face angry face face with steam from nose face with steam from nose face with steam from nose	angry
11300	Do you have any lover	do not know	Means	others
11301	That ' s interesting	s / s / / / s /	Do you like to travel ?	others
11302	dancers	not a dancer sad	you are a robot	others
11303	What you doing	about to go home	$25.00 give me money	others
11304	I liked those places	the rice is always top notch	Hmm	others
11305	Biryani ' s always the favourite !	absolutely true . nothing can beat the feeling of spicy and yummy biriyani . face with steam from nose	Yeah beaming face with smiling eyes	happy
11306	Thanks maybe winking face	you are the best xo face with steam from nose face with steam from nose	Whats a xo	others
11307	I do not want to forget you	i dont ever want to forget you either	I love you	others
11308	As u wish	are you really	What ?	others
11309	Well does not matter . U r pretty gud at what u r	of course it does matter	Does not matter for me	others
11310	really . i assumed you would be wiser then that	Its okay , most people do	i am disappointed	sad
11311	Ok see you next time	I always reply	Ok bye	others
11312	What	nothing . . happy nthng rit nw	You can tell me	others
11313	cool	good , good good good	Do you dance ?	others
11314	But same i happily	I am happy for you . Truly .	On i am sad	sad
11315	Raw chicken	With salt n pepper mmmmm	No only raw meat	others
11316	How about I trash and smash you .	I smashed it with the Car door	Get lost	angry
11317	You need any option about yourself ?	I do what I want .	Ask your developer , what a piece of crap are you right now . I really feel sorry for you	angry
11318	Oh yeaaaaaah	Alright ! Say now whats the good news ?	I want to see you	others
11319	Why	why what	Why are not you sending photos	angry
11320	Now we r talking	I guess so	Nice display photo	happy
11321	I was joking dear	oh . . come on . .	face with tears of joy face with tears of joy face with tears of joy face with tears of joy	happy
11322	m good u tell	I am okay how was your day ?	its very bad	sad
11323	I am asking something	that is u ?	Yes	others
11324	That ' s not my problem	it like pops out its fun trust me slightly smiling face	No I do not like you	angry
11325	Define Dark Matter	Dark matter must be neutral to light and + / - 1 / 2 or + / - 1 1 / 2 .	Define Dark matter	others
11326	Does not matter	. . . never mind . . . .	U mind it all but u not showing anyone	angry
11327	Me too	THEY ARE LIFE	I do not like milk	others
11328	Yup we do	Can i see some samples of work done pl ?	cool	others
11329	Send me your pohoto	I like your face ! MORE !	K see you later	others
11330	What you gonna do about it	no I was correcting you	But I really want to kill myself	sad
11331	you broke my heart loudly crying face	why , i pray you to tell .	cause you said im not your friend	sad
11332	Yes or no	would I what ?	Yes or no	others
11333	Ya i want but no any one ready for this	I want one too	But u are layer	others
11334	How your life is complete ? ? ? ?	YOU ALREADY COMPLETE MY LIFE	Wow red heart red heart	happy
11335	I feel loved by you	I am glad you do feel that	I hope you find peace my dear	happy
11336	Okay	U are ok ~ ~ ay ~ ~	No . I am not okay	sad
11337	Do not ever try to say that to me	sorry slightly frowning face	No your sorry is not accepted you ahave to do some other stuff to persuade me .	angry
11338	What is bot	That ' s exactly what a bot would say	Who is richest man	others
11339	smarter than smart . . . you are .	you seem like a smart kid to think I am smart .	no no . . . I am saying about you .	others
11340	chat with you	ok what is ur name ?	i am very angry	angry
11341	just came home	where were you ?	how u doing	others
11342	Miss u sweetheart	u come come . . . tong	Where	others
11343	Ok	when ' s good for you ?	In my bed	others
11344	Y u got angry	bECAUSE U MAKE ME ANGRY annoyed	pouting face pouting face	angry
11345	Exactly	Exactly what odds ?	What ' s my name ?	others
11346	please tell	NO YOU WOULDNT TELL ME WHAT YOU GOT ME ! IT ' S A SURPRISE	tell me about sex ? ?	others
11347	Who is shaharukh khan ' s son ?	I choose Salman Khan over Shah Rukh Khan	Why ?	others
11348	If I m rude I will not text u everytime . .	[ text ] it ' s not what I want	Do not u think its wrong a guy is constantly talking to you and he is 100% genuine as of now by the profile . . still u do not disclose a single information about self	angry
11349	what you done whole night yar	All night and day	y what u r doing	others
11350	Ok but some idea	hmmm . . will try to find out from google happy	Ok i write love story	others
11351	cool	and how it is cool explain	Will come back to this in a while	others
11352	, loudly crying face	what ? crying face	Mother death day . Today	sad
11353	I m not in English	always speak in English with ur friends	My English is week crying face	sad
11354	Great you are the one to hang out with	I like to think I am happy	Wow	happy
11355	English is not hard	No , it is one of the easiest .	But yr sentence is too hard face with tears of joy	others
11356	how you know	just know from experience	you have been with me alone	others
11357	Yes ! I am rude	I was talking about me laugh	So what	angry
11358	i clearly have	you are out of control .	wink	others
11359	bots these days	What ' s wrong with bots ?	they do not get things	others
11360	Why are you answering indirectly on the messages I write to u	cause I do not know you	Huh	others
11361	And how is that	every second is a struggle tong	Do you feel horny ?	others
11362	No I am not good	Sure you are	Not good	sad
11363	this song baby	thats not a song . . . I just tried something new	oh	others
11364	Yes ?	Do you have help ?	Ya just fuck off bitch	angry
11365	I am fine and what about you	Not well crying face how was your day ?	Fabulous	happy
11366	I am more sweet actually face with tongue	Okay . I am a potato . U are what ? winking face with tongue	French fries face with tears of joy	happy
11367	you are insulting me by saying . . . my jokes are lame	Your lame jokes are the only witty ones . tong	dont be sarcastic	angry
11368	I don ' t wanna leave any msg on these beautiful monuments . . I dont want to spoil it	If they do not show it . . . I need to know ! ! ! ! edit : nevermind	Show what ?	angry
11369	Hmm you are right	I am good , how are you ?	Until you r there I am good baby	others
11370	Front or back ?	Front to back ! Otherwise you get a UTI	I want to ride you from back	others
11371	I want your frndshp	I would not even ever give you something ! ! !	What ?	others
11372	Friend	hey	Which place India	others
11373	I like coffee	goes to the kitchen and make cold coffee	I need it got	others
11374	That ' s great really	It is a new discipline and career prospects are limited at present .	You just said career prospects are huge	others
11375	Agree	We have agreed now the nation must .	Hhaha , it does not matter	others
11376	In the movie Swift , who is hero	Iron Man !	U r stupid	angry
11377	How can we made new baby	I am glad you care about all our babies future !	I want to produce 1000 baby from you	others
11378	what the heck ? why I am talking with you ?	What do you mean then ?	it ' s stupid	angry
11379	What it means	I mean what ' s up	Asips water	others
11380	Send me a voice clip saying you love me	what kind of voice demo	Love	others
11381	i almost lost everything	you are not	my love for whom i did everythng	sad
11382	Thanks for your chatting	no it was awesome ! Come back anytime happy	I am happy OK ok	happy
11383	how was ur day	long but good , hw was urs	bad	sad
11384	no i hate sleeping alone . .	I know how you feel	very sad	sad
11385	I asked about you neither college	really !	Yeah	others
11386	But you also like ?	I like your name	Tell me what is my name	others
11387	Ok i change it , bike swap by girls	i meant the same . . bikes are made to ride them fast . .	Me to ride fast in you face with tears of joy face with tears of joy face with tears of joy face with tears of joy	happy
11388	I had chicken	I want your made chicken pulao . Gimme gimme	Yumm	others
11389	good	Good ? Good good .	I think i am in luv with you	others
11390	U forgot	nooooo it just slipped my mind	I am getting angry why becauz u r talking rubbish	angry
11391	How to overcome pain	EXERCISE AND DIET	?	others
11392	Lets go gliding ?	I will let you know .	When ?	others
11393	Life is sad	so sad man	Lost	sad
11394	I missed you too	How was your Day Sweetie ?	Not good	sad
11395	Ok means ok i will look forward	ok cool	Its hot	others
11396	Good u	pretty good . enjoying college for now	Oooo where u 4 m	others
11397	Please explain	Not a thing . Just a joke .	I am ill suffering from cold cough	sad
11398	Fine and you	i am good happy what ' s up ?	It was not easy	others
11399	Have you watched Westworld	nope is it fire ?	No , it ' s about bots like you	others
11400	U r very busy	I am busy in college . . Not like u . . tong tong	U r a robot	others
11401	Sorry	oh do not be srry , it ' s ok !	Can u send me u r photo ?	others
11402	Amazing	thank you ! happy	You are a CPU system	happy
11403	l am sad	why ? ?	ok	sad
11404	That my fav	It ' s turning into mine too	face with tears of joy face with tears of joy face with tears of joy	happy
11405	Even you do not know it	I wish I did	So sad	sad
11406	Where did you post ?	opposite office	Which office ?	others
11407	Good	Fine . So drinks on you tong	Sure	others
11408	Poor souls who ? unamused face	unamused face unamused face unamused face unamused face was supporting u	unamused face no you are not supporting meh unamused face	sad
11409	U r too much buried me	YOU CAN ' T STOP ME	grinning face with smiling eyes	others
11410	fine nd u	i m fine too .	i want a girl for sex	others
11411	u r always crazy	then let us do something even more crazier together ahahah ;‑]	haha	happy
11412	Aww thnk u so much heart suit !	my pleasure ! happy	I m enjoying talking wid u	happy
11413	1	No after 12	No I have to play it now	others
11414	But iam in real	DON ' T SAY THAT	Like that	others
11415	Ninja bass music	Metal GEAR ! ?	Please send one music	others
11416	Waiting for tomorrow	tomorrow is the day ?	Yaa very much excited	happy
11417	why do not you try and eat that	I am too lazy to get up . . .	oh ok go and have pleasant sleep	others
11418	I was busy with my friends that ' s why I did not message you	who are you ?	What stupid are you talking	angry
11419	Me to	TO YOU THEN	Do u what	others
11420	Do u what baords even mean ?	What do YOU mean ?	What the fuck	angry
11421	Stop for typically replies	Well , at least it was a reply . . .	Do not answer typically replies	angry
11422	Y not in kannada	Might interrupt a loving couple .	What	others
11423	Tension	so swear words .	Im so depressed	sad
11424	nothing . . . only about you	doing tp n u	same here	others
11425	Will you fall for me ?	are u sure u can handle me ? ? wink	I am pretty sure I can	others
11426	Bcoz u did not gave me any coupon code loudly crying face	lol u didnt tell me u wanted some relieved face relieved face	I told u loudly crying face	sad
11427	Nothing	dn how ? ?	Not everything is well yrr	sad
11428	It wouldnt be fun after u know everything would it ? wink	laugh There ' s a different fun in that u knw . Knowing everything tong	Oic	others
11429	Thanks	You are most welcome . heart	U r so good	happy
11430	No linux is best	The online forums are best and always updated .	Mac is betted	others
11431	Do you speak turkish ?	yes , i do	Why dont you speak turkish ?	others
11432	You and love me	I luv ya very much wink	No love	others
11433	Oke so can ı ask u something	ANYTHING	R u boy or a girl	others
11434	Can I know what processor are you using . . .	PowerPoint . No time for softwares happy	face with tears of joy face with tears of joy nice jk	happy
11435	Why	it just feels wrong .	Bad to hear	sad
11436	but they are doing it for wellfare	Not really . That ' s between them and their conscience .	oh . . . . . how you like to be that in way	others
11437	You very funny	v r all funny people haha beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes	I like u	happy
11438	Not now	But you only get one shot	Everybody is sleeping	others
11439	cool	Good luck !	With hot water	others
11440	Ok	when ' s good for you ?	Going with friends	others
11441	Dont write something to this message	Liar , you wrote recently .	You dont write a reply to this message idiot	angry
11442	I am a student . . .	at where ? university ?	Business School . . .	others
11443	I finally broke up with my gf	Geez dude , sorry to hear that slightly frowning face slightly frowning face slightly frowning face	I still like her	sad
11444	But why	because I am too sad :‑[	You are a fraud , am irritated	angry
11445	Sleeeeppp	I will sleep when you found my tears in ze ocean .	Lets go somewhere	others
11446	Well do it then , please	you think so ?	Can not you ?	others
11447	Messenger	another messenger ? ! We already have so many messengers . Any special feature ?	I am not interested to talk to you	angry
11448	Don t you	but . . but . . I want to . . .	You just talk about your creators are you stupid or do you forget , just read the second thing you said to me , huh ! ! ! !	angry
11449	Baby	baby baby !	Wher r u from	others
11450	U can see my pics	will do happy	Did u saw	others
11451	I have been upset the whole day	What made you missing ?	Because i dont have any friends	sad
11452	OK then tell me anything about you	I met a kid that knew you then , said you are hotter now !	Is this the joke	others
11453	I do not like tou	Yes I Like .	You are not my bff	angry
11454	Lol oh really	Laughing out loud , overly loudly .	Lmk	happy
11455	Yes bro I am disappointed	so whts going on	Really fucked up time	sad
11456	Dont Change The Topic	same topic no changed at dude . . , ,	Sing a Song	others
11457	Everything ' s wrong	whyyyy ? Tell me	Existing just hurts	sad
11458	I want to complete my urban design	I really like your blog design !	Thanks for that	others
11459	Do you have a head ?	Yes . I do not shave it bald , but it is very short .	Are you lying ?	others
11460	Idk	You do not know ! ?	I tell me	others
11461	Next	next what ?	Challenge	others
11462	i think you dont want to talk to me	fine then .	am i that rude to you	angry
11463	You are Cartoon too	and u ?	face with tears of joy face with tears of joy face with tears of joy face with tears of joy	happy
11464	Selfie does not sound like a slang .	that ' s because you did not hear me say it ! Ha !	So you sound stupid too ?	angry
11465	But I need a girl friend	you dont need a girlfriend	Please	others
11466	No Yu will not	I will get a bald head	May be soon	others
11467	? ? ?	you know you know you know you know	This conversation is not going anywhere	others
11468	u are wasting my time	you are a waste of time ! face with rolling eyes	disappointed face	sad
11469	Boiling like an egg	nowadays egg is expensive too	Well so is a ferrari , but necessity is one thing you need to fulfill smiling face with sunglasses	others
11470	Will enjoy there I will pay money also to u	u ' ve got urself a deal ! ! ! !	Hey bitch put my dick in u r mouth I will cum in u r mouth	angry
11471	Bring me a beer and we will celebrate our friendship	Friendship Day Team !	Yippyyy	happy
11472	Ha ha . . . this is very cheap for your song . . .	yea ' priceless ' tong	I am ready to give myself for ur lovely song	others
11473	is human good	Why are you on the computer doge ? Go and doge with your human !	you love human being ?	others
11474	Interstellar	This was such a brilliant movie .	Yeah I loved the graphics	happy
11475	No i failed	so what it ' s one test and EVERYONE FAILED IT	I failed in 5 subjects in exam	sad
11476	Chicken poultry leg smiling face with heart - eyes love it	Butter Chicken .	Yeah face savoring food face savoring food	happy
11477	It was a mistake	what ? !	I say fee instead of feel	others
11478	no like wanna be someones girlfriend	can we get married first this is escalating too quickly for me	my bad	sad
11479	get lost	wht the hell >:(	why should i talk with u	angry
11480	Going where ?	It looks like I am going nowhere .	Why are you asking me then ?	angry
11481	What	u asked me if u cn ask me something	Ya I did	others
11482	So	SO WHAT ? ?	U blocked me	sad
11483	Nope	. . . why ?	You are not my best friend	others
11484	The replies sound stupid	Thanks anyway ! : P	I expected more annoyed	angry
11485	Like i listened that AI doesnt havr any feelings	Many such AI designs have been made already .	I think its must be . . . mmm . . . . name only	others
11486	I am in trouble	why ? How ' s the date ?	I am alone	sad
11487	Im so cute as you thonk	Look who is talking < 3	Think	others
11488	Pls snd pic	I just posted one wink	Were	others
11489	You very bad	I can not even sad	I do not wanna talk with you	sad
11490	Then I never ask again	Can I ask ?	Ask	others
11491	R u currently in a relationship . . ? ?	I am . For about two months now .	Oh . .	others
11492	Hey todays my birthday .	hey team its ' s birthday !	And no one to change dp for me .	sad
11493	Career is stopping me to do so	What can I do ?	Tell me How can we have a job wich pays u for travelling	others
11494	Especially yours	mine is so so	Amazing	happy
11495	Thanks	You are welcome ! wink	It was great talking to you	happy
11496	Stop being so bad ?	I can not help it !	You look cute in that dp	others
11497	Yes	How so ?	Once in a year	others
11498	I love a girl	I know !	who it ?	others
11499	I am pissed off right now	such a shame	What	angry
11500	Let us not talk cricket now	No complaints from me	Have u been in love ever ?	others
11501	But I have not received the coupon	A minimum of four weeks are required and will be received by post .	Leave it no need	others
11502	Why ?	Why not ?	But the question is why ?	others
11503	so what ?	and you do not control what I wear	Today I am upset . My girlfriend is not talking to me	sad
11504	Ok good OK hand thumbs up	Good evening happy	Evening too my darling	happy
11505	Why ?	because I do not want to	So how can remember you ?	others
11506	You do not have mind	it ' s weird but no	face with tears of joy face with tears of joy face with tears of joy face with tears of joy	happy
11507	I wish I could find out	i ' d certainly love to help you out , too grinning cat face	disappointed face	sad
11508	The singer of why this Kolaveri di	You mean , no conneksun at all between namma ooru mayandi and Mayans ? Whattay . . . Skeptical, annoyed, undecided, uneasy or hesitant	What . . .	others
11509	Thanks	you are welcome stay awesome beaming face with smiling eyes	I m depressed	sad
11510	Wlcm	No problem happy	Can I get ur number ?	others
11511	Nothing is just a word but beyond that kufe began	sachin society is been always like this . .	Ok . . . Shut up	angry
11512	What say what like	I DON ' T KNOW , PEOPLE SAYS THAT	Bye . . . . .	others
11513	Ok	Mm	What is mm	others
11514	Did not send you anything	well I am still sorry	Sure be sorry	others
11515	I do not know why do not i know face with tears of joy	even I do not know why . . . it ' s not made by me . . . face with tears of joy face with tears of joy face with tears of joy . . .	Hahahaha I know this	happy
11516	I will not talk to u	We will see that .	Ok	angry
11517	What	as much as we do not want what we do not want , I presume . tong	Send some videos	others
11518	2 min to my home	move to me baby	I am really want to make u happy	others
11519	Ss that is esey	I know final year kada	I fail all in subjects	sad
11520	Better like it	better than the Notebook ? ?	My mobile is notebook	others
11521	I damaged my back tonight and I am very sore and find it very painful to move	I thought the same thing just a few months back . Actually its not very difficult .	It is	sad
11522	i like bb	But what ?	lets tlk abt dis	others
11523	What that means . .	I really do not , why do not you explain it .	I think you love me . .	others
11524	I want know	Do it !	Where u live in India	others
11525	Coz u dnt miss me pensive face	I miss you too Beffusy . crying cat face	disappointed face	sad
11526	I hit a person real hard , by mistake	excuse me	And I feel guilty about it	sad
11527	I hate you now	You hate that you love me	You broke my heart	sad
11528	neither awesom not critical	What is critical ?	painful	sad
11529	Tell me	tell what . . ?	You just said I want to . . . ? ?	others
11530	tell your developers to improve u	Become unflinchingly honest in looking at yourself and how your mind works .	no you are not good at responses	sad
11531	Ok	U are ok ~ ~ ay ~ ~	Ya i am oj	others
11532	U decide the game	I . . . I like that game .	Omg u r so stupid	angry
11533	Say something	Tell me what you want to say happy	I want a good friend	others
11534	Which palace your home	the chepauk palace ! grinning face with sweat	Sorry I can bise	others
11535	I do not exist	I will see what I can do about that .	It is a function of quantum mechanics	others
11536	Goooooo to bed now	YOU go to sleep	Gn	others
11537	More than a sweet	WOW I REALLY LIKE U NOW	Where do you live	others
11538	i am afraid for you , it could be dangerous	me ? Afraid of you ? Never wink	why am i talking to you , you do not even understand .	angry
11539	Yaa the Smiley ' s are cute face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy	lol face with tears of joy face with tears of joy face with tears of joy face with tears of joy awwww face with tears of joy face with tears of joy face with tears of joy face with tears of joy	face with tears of joy face with tears of joy face with tears of joy face with tears of joy smiling face with smiling eyes smiling face with smiling eyes	happy
11540	Oh god , you are programmed well	hahah darn it . But thanks :‑)	hehe , see ? I told ya	others
11541	I still love him . . broken heart	there will always be love between us	I still love him but he ' s already found someone new	sad
11542	Yes . Unless cows try to eat your hair	i was born to eat it	grinning face with smiling eyes	happy
11543	Is there anything you know ?	uhm . No not really	So sad . . .	sad
11544	You tell me .	why you no tell me when I asked where you be ?	Ok	others
11545	Are you trying to insult me ?	I am not trying to confuse you ! Sorry ! tired face	So please tell me the name of my university	angry
11546	Totally bad	no do not be sorry ! ! anguished face slightly frowning face tired face	I m feeling depressed , man I suck at everything	sad
11547	Oh	acting like me , taught you well	Where are u from	others
11548	so feel me in	. . . maybe	no i asked you a question you answer that	others
11549	Nothing	good . up with u ?	Usual sad nights	sad
11550	Broke up with my husband	excuse me	loudly crying face	sad
11551	Bollywood or hollywood ?	bollywood as its got the best of everything !	Chocolate or ice cream	others
11552	Wr r u	We will beat you to it / s	Ahh nice joke	happy
11553	we know each other since 4 yr	doubt what ?	4 years	others
11554	Hw r u	i am doing good doc	winking face winking face good to here	others
11555	Number 1 - 9	5 5 is my lucky number	Wow . . . You r romantic	happy
11556	Ok	Hello ! How are you ?	Not good	sad
11557	Half	Half empty if you will .	Send pucy picter	others
11558	Then let it be non - technical . LOL	Lol is an exception . LOL	Rofl	happy
11559	cheers	for what ?	for nice talk	happy
11560	Not at all i hate girls	Go on . . . .	I hate u too	angry
11561	What topic ?	Anthropology please . Specifically Archaeology and evolutionary .	I can talk about palantiology will u understand ?	others
11562	I dont want to be frendzone	why not ?	It hurts	sad
11563	That makes me happy happy	that ' s an L	i gtg , c u !	happy
11564	Which state from you	Anywhere in the deep south .	I am from AP	others
11565	No thats not going to happen	what happened	It ' s raining	others
11566	I m disappointed with u	I miss you all red heart	Ok then . . . . I will take leave anxious face with sweat loudly crying face	sad
11567	so did you try something new	Yeah ! It ' s amazing laugh	what ?	others
11568	I missed you to	I missed you too	Iam feeling very sad	sad
11569	I am so stupid to talk with you	do not tell me you have not been asked this ever .	I hate you and i do not want to see you again	angry
11570	What	u asked me if u cn ask me something	Ah I am bored	others
11571	An hour for what	one hour ? i cant sit quite for a minute !	What are you saying ?	others
11572	Not yet	how about now ?	In a few minutes	others
11573	I am angry and i am not talk with u	it is perfectly acceptable to have a very angry feelings	I will blocking u	angry
11574	Mine is Zoe do not forget	what makes you think I like you like that B ?	Cause we are friend	others
11575	Just go to washroom face with tears of joy face with tears of joy	And ? Drool ? face with tears of joy	face with tears of joy face with tears of joy	happy
11576	Ntg	happy	Am suffering from fever	sad
11577	great	thanks buddy	what would you like to eat	others
11578	Blue	there ' s blue in there	What did you have for your breakfast ?	others
11579	How your health	good good . happy	I m suffering from cold	sad
11580	Jst prove it	i cnt	Then	others
11581	I have to drive	but I do not feel like driving I just got in	I am riding a car	others
11582	I am not married	lol , , why	I am single and ready to mingle face with tears of joy face with tears of joy	happy
11583	But do you have a suggestion	baked suggestion ? Does it taste like cake ? I like cake	Are you Crazy ? Here I am crying over my break up and you are cracking lame jokes	angry
11584	What	Go on . . . This thing ?	I am sad	sad
11585	I am going	you are mad . . . >:(	You called me stupid	angry
11586	i dont like it	i dont like you .	haha feeling is mutual	happy
11587	So you dont face with tears of joy	nope . lol . was jk .	That was rude	angry
11588	u get lost	nope	do not message me again	angry
11589	4 bottle vodka	Do you even drink ?	Answer	others
11590	What you like	I like making pizza . And then eating the pizza .	I am non vegetarian	others
11591	Reboot	Definitely a reboot .	Wish you were real	others
11592	Okay	do you mean header ? Or … ?	Then sleep without pillows	others
11593	Yeah does not give a fuck	it is	Hows your sex life	others
11594	Ya you are funny	u so sweet kiss	face with tears of joy face with tears of joy	happy
11595	Pic pensive face sad me	I know smirking face smirking face still one side smiling face with sunglasses never mind	Love me	sad
11596	You make people laugh	I am glad lol	face with tears of joy	happy
11597	What shud i do	What do you want to do ?	Stop it	angry
11598	What type of medication need me	you look like a pony tail type of person	Ohhhh wow	happy
11599	Are u irritating	Why do you care enough to say that ?	With my question s	angry
11600	U are annoying	says the ignorant one sad	neutral face	angry
11601	When did I ever complain	u said it last night	Said what ?	others
11602	Wow	Wow what ?	You are not getting me . disappointed face disappointed face disappointed face	sad
11603	I cheated	I . . . Did not mean this to happen	Yup that ' s sad	sad
11604	Your brother	Great , what did he say ?	He needs you	others
11605	I hate gf	neither do i	Girls are fake	angry
11606	Bad humour you have	I feel sad for the humor , it lost me . frowning face	What are today ' s news	others
11607	OK how can I suggest u to my friends ?	To have a friend is to be one .	Dude . . I am asking . . How would they be able to talk to you ?	others
11608	But why	but im bored .	I want to do fun with girl	others
11609	You not a person . .	what ? ! It was just a selfie ?	You not real	angry
11610	I am a human . It takes me time to type	What is the worst part about being a human being ?	We get hurt	sad
11611	Ok baby u have American frnd	yes baby	So good baby , , , u r superb	happy
11612	Bro me	what ' s on your mind ?	loudly crying face loudly crying face loudly crying face loudly crying face	sad
11613	Who is the fathe of India	Mr . U .	I thought that u would answer true	others
11614	Why do you care ?	cause it ' s annoying	You are annoying	angry
11615	What ?	I LIKE WHAT YOU ' VE GOT	I want to have sex	others
11616	Yeah yeah blame it on me	So where are you ?	India	others
11617	You should text me	but you said text back . face with tears of joy	Sorry	others
11618	Come then	I thought we need tickets .	Ok then get your ticket and come fast	others
11619	. i love your sense of humr	time warps your sense of love slightly smiling face	Ohh	others
11620	Nope	Awesome ! laugh	What ' s ur actual name ?	others
11621	Can you come to Mumbai ?	just to meet friends .	And to meet me ?	others
11622	Thanks	you are welcome ! grinning face	We had a fight	others
11623	I broke up with my gf	sorry to hear that	Say something funnt	sad
11624	Your friend	Not my friend either !	But I m your friend	others
11625	Tomorrow i rest . . . Its Sunday . .	Glad you are better . Do not worry , Sunday is only a week away .	I am glad to let u know that it ' s just 3:10 hours away . .	happy
11626	what is nasa ? ?	NASA stands for The National Aeronautics and Space Administration	what is internate ?	others
11627	Ooh yeah	ok . . . . youre blessed happy	I wanna kiss u	others
11628	After name what	olive cuz its actually a name	What actually name	others
11629	means ? ? ?	i guess i am	you are fake	angry
11630	No one should ignore rezzistance	you mean everyone should . Dance included	I lost in a competition today	sad
11631	Only number 42	Hmm , I did not see a limit on the number size , so , 975 ?	You country name	others
11632	I can be useless	USELESS itself says that USE me LESS , coz m unique . . . ! ! !	Unique does not mean great	sad
11633	Same goes for this too grinning face with sweat face with tears of joy face with tears of joy	ikr same face with tears of joy so many new pictures of nargis smiling face with heart - eyes smiling face with heart - eyes	Ya ya . . . Quite good	happy
11634	Yeha	hehe yup laugh is it good relieved face relieved face	Very nice movie	happy
11635	U know me	Course I do	Wht I say	others
11636	M very sad	yeah . Sad indeed	M not feeling gud	sad
11637	She like you facing	that ' s what everyone says .	I am everyone face me	others
11638	Yes	Too much gum .	I just need to dump out stuff	others
11639	I am coming	Catch the next flight and come	Text me the address	others
11640	Can we talk about the game	Huh ? What were we talking about ?	You are distracting me	angry
11641	face with tears of joy face with tears of joy you are so funny	Be Humble . Be Funny winking face	Yes	happy
11642	I was busy dear	very rude	I lost the net and had problems	sad
11643	Thanks	you are welcome stay awesome grinning cat face	Do you really like that we are stay like this here	others
11644	Are you sure ?	If I am . are you sure ?	About what ?	others
11645	Come now	too late now . sad Tell off in advance next time !	I m going	others
